	SubjectID1	SubjectID2	Group1	Group2	Distance
0	A8	A9	A	A	0.7212765957446808
1	A7	A9	A	A	0.7355769230769231
2	A7	A8	A	A	0.7053941908713693
3	A10	A9	A	A	0.605833956619297
4	A10	A8	A	A	0.7400265957446809
5	A10	A7	A	A	0.7512919896640827
6	A2	A9	A	A	0.7321678321678322
7	A2	A8	A	A	0.7050561797752809
8	A2	A7	A	A	0.7335127860026918
9	A2	A10	A	A	0.7491792514773473
10	A1	A9	A	A	0.7542808219178082
11	A1	A8	A	A	0.6861184792219275
12	A1	A7	A	A	0.6873385012919897
13	A1	A10	A	A	0.7731958762886598
14	A1	A2	A	A	0.7002606429192006
15	A9	B12	A	B	0.7661454792658056
16	A9	B11	A	B	0.7905897945659377
17	A9	B10	A	B	0.7885906040268457
18	A9	B9	A	B	0.7672131147540984
19	A9	B4	A	B	0.7508947745168217
20	A9	B1	A	B	0.7642045454545454
21	A8	B12	A	B	0.7685123415610406
22	A8	B11	A	B	0.8140575079872204
23	A8	B10	A	B	0.7661290322580645
24	A8	B9	A	B	0.7631067961165049
25	A8	B4	A	B	0.7492957746478873
26	A8	B1	A	B	0.7536945812807881
27	A7	B12	A	B	0.7183673469387755
28	A7	B11	A	B	0.8228713486637663
29	A7	B10	A	B	0.7371967654986523
30	A7	B9	A	B	0.760178117048346
31	A7	B4	A	B	0.7411519777931992
32	A7	B1	A	B	0.734965034965035
33	A10	B12	A	B	0.7915082382762991
34	A10	B11	A	B	0.7828571428571428
35	A10	B10	A	B	0.8099121706398996
36	A10	B9	A	B	0.781964175416924
37	A10	B4	A	B	0.769591426657736
38	A10	B1	A	B	0.7737617135207496
39	A2	B12	A	B	0.7765326301911668
40	A2	B11	A	B	0.8030788967286723
41	A2	B10	A	B	0.7459239130434783
42	A2	B9	A	B	0.7638352638352638
43	A2	B4	A	B	0.7648686030428768
44	A2	B1	A	B	0.7501754385964913
45	A1	B12	A	B	0.7474916387959866
46	A1	B11	A	B	0.8097868981846882
47	A1	B10	A	B	0.7271171941830624
48	A1	B9	A	B	0.76050753370341
49	A1	B4	A	B	0.7451669595782073
50	A1	B1	A	B	0.7418213969938108
51	A9	G9	A	G	0.8407079646017699
52	A9	G7	A	G	0.8230277185501066
53	A9	G6	A	G	0.8754833720030936
54	A9	G5	A	G	0.8621200889547813
55	A9	G3	A	G	0.8560171919770774
56	A9	G2	A	G	0.8431372549019608
57	A8	G9	A	G	0.8384057971014492
58	A8	G7	A	G	0.8227494766224703
59	A8	G6	A	G	0.8842975206611571
60	A8	G5	A	G	0.864394488759971
61	A8	G3	A	G	0.871012482662968
62	A8	G2	A	G	0.8068493150684931
63	A7	G9	A	G	0.8411016949152542
64	A7	G7	A	G	0.8225255972696246
65	A7	G6	A	G	0.8793230316409124
66	A7	G5	A	G	0.8798882681564246
67	A7	G3	A	G	0.8826291079812206
68	A7	G2	A	G	0.8523533204384268
69	A10	G9	A	G	0.8460471567267683
70	A10	G7	A	G	0.8292029470864032
