	SubjectID1	SubjectID2	Group1	Group2	Distance
64	B10	G7	B	G	0.7485291296284453
65	B10	G6	B	G	0.9154729167998977
66	B10	G5	B	G	0.8995331585342456
67	B10	G3	B	G	0.9136343288354544
68	B10	G2	B	G	0.8367014133145744
69	B9	G9	B	G	0.7216537699047132
70	B9	G7	B	G	0.6996226897742533
71	B9	G6	B	G	0.9027147150988041
72	B9	G5	B	G	0.8013365735115431
73	B9	G3	B	G	0.8382522222932788
74	B9	G2	B	G	0.7724467608876383
75	B4	G9	B	G	0.6721557843576134
76	B4	G7	B	G	0.7033798043102897
77	B4	G6	B	G	0.8821225298970391
78	B4	G5	B	G	0.8342872673786532
79	B4	G3	B	G	0.852465306644497
80	B4	G2	B	G	0.7742373856877918
81	B1	G9	B	G	0.6991110826884952
82	B1	G7	B	G	0.7080801944106926
83	B1	G6	B	G	0.8971030248768945
84	B1	G5	B	G	0.8209854831489416
85	B1	G3	B	G	0.845318795165313
86	B1	G2	B	G	0.7727025644305173
0	G7	G9	G	G	0.3694442668030952
1	G6	G9	G	G	0.6897262902091194
2	G6	G7	G	G	0.7356270384344823
3	G5	G9	G	G	0.6883353584447145
4	G5	G7	G	G	0.6678071241286692
5	G5	G6	G	G	0.8100338939694315
6	G3	G9	G	G	0.6749856110507131
7	G3	G7	G	G	0.655496578627614
8	G3	G6	G	G	0.8038626334974739
9	G3	G5	G	G	0.41919805589307413
10	G2	G9	G	G	0.6279177591609644
11	G2	G7	G	G	0.5991398605870691
12	G2	G6	G	G	0.7941261111466393
13	G2	G5	G	G	0.5950470039010041
14	G2	G3	G	G	0.6234252094391507
15	G9	A9	G	A	0.640372194154889
16	G9	A8	G	A	0.6922363624736203
17	G9	A7	G	A	0.6997665792671228
18	G9	A10	G	A	0.668702436528746
19	G9	A2	G	A	0.6562160260919614
20	G9	A1	G	A	0.6790464922939182
21	G7	A9	G	A	0.627454115239496
22	G7	A8	G	A	0.7270096565837437
23	G7	A7	G	A	0.7130843512182644
24	G7	A10	G	A	0.6628029673210974
25	G7	A2	G	A	0.6438095542623266
26	G7	A1	G	A	0.6071017458591802
27	G6	A9	G	A	0.8075877725906504
28	G6	A8	G	A	0.8994212444842361
29	G6	A7	G	A	0.8921628189550426
30	G6	A10	G	A	0.8894928694762423
31	G6	A2	G	A	0.8943371490695146
32	G6	A1	G	A	0.8023118245187696
33	G5	A9	G	A	0.7693291552087996
34	G5	A8	G	A	0.7987625503613225
35	G5	A7	G	A	0.8424410053079235
36	G5	A10	G	A	0.7618309138581569
37	G5	A2	G	A	0.767298714587197
38	G5	A1	G	A	0.8658310417599284
39	G3	A9	G	A	0.7752126366950183
40	G3	A8	G	A	0.8348948007929909
41	G3	A7	G	A	0.8580929845878366
42	G3	A10	G	A	0.7681780392658438
43	G3	A2	G	A	0.8096661763765428
44	G3	A1	G	A	0.895855982605359
45	G2	A9	G	A	0.7273294110123425
46	G2	A8	G	A	0.7571784869220439
47	G2	A7	G	A	0.8058770863976467
