	SubjectID1	SubjectID2	Group1	Group2	Distance
64	B10	G7	B	G	0.40672557200190174
65	B10	G6	B	G	0.43429843973541826
66	B10	G5	B	G	0.6109050569444618
67	B10	G3	B	G	0.6832978462162259
68	B10	G2	B	G	0.3912076888632167
69	B9	G9	B	G	0.2987686454861498
70	B9	G7	B	G	0.2702293124710305
71	B9	G6	B	G	0.4623492787652366
72	B9	G5	B	G	0.4786366427996423
73	B9	G3	B	G	0.5343223939628885
74	B9	G2	B	G	0.2678744081743768
75	B4	G9	B	G	0.3225110981628344
76	B4	G7	B	G	0.33816788832442124
77	B4	G6	B	G	0.3768588710920522
78	B4	G5	B	G	0.5424154379001036
79	B4	G3	B	G	0.6117799017354052
80	B4	G2	B	G	0.30446634725230565
81	B1	G9	B	G	0.31147740954571157
82	B1	G7	B	G	0.31680391406738406
83	B1	G6	B	G	0.38117473192663853
84	B1	G5	B	G	0.4904490482235087
85	B1	G3	B	G	0.5607142456277543
86	B1	G2	B	G	0.2891180652530638
0	G7	G9	G	G	0.13534990490178636
1	G6	G9	G	G	0.4099207661729004
2	G6	G7	G	G	0.3934189759875954
3	G5	G9	G	G	0.4031984213936941
4	G5	G7	G	G	0.44958041618066513
5	G5	G6	G	G	0.6268252130567948
6	G3	G9	G	G	0.45966885157628096
7	G3	G7	G	G	0.48677439466520134
8	G3	G6	G	G	0.6813076572694987
9	G3	G5	G	G	0.14917046997995131
10	G2	G9	G	G	0.18914464957354668
11	G2	G7	G	G	0.1899946640401631
12	G2	G6	G	G	0.38546981295245414
13	G2	G5	G	G	0.39805076350388624
14	G2	G3	G	G	0.4814922577906039
15	G9	A9	G	A	0.24081863337406065
16	G9	A8	G	A	0.27639009974563467
17	G9	A7	G	A	0.36276874066324344
18	G9	A10	G	A	0.30097281944276294
19	G9	A2	G	A	0.21989016945111678
20	G9	A1	G	A	0.3104840024748569
21	G7	A9	G	A	0.20985290307146542
22	G7	A8	G	A	0.2973820382583902
23	G7	A7	G	A	0.34130367009721785
24	G7	A10	G	A	0.3043407666027255
25	G7	A2	G	A	0.2197555676709698
26	G7	A1	G	A	0.24071059252011195
27	G6	A9	G	A	0.4664979646544879
28	G6	A8	G	A	0.46117345105461355
29	G6	A7	G	A	0.3912954457602338
30	G6	A10	G	A	0.5845581516225552
31	G6	A2	G	A	0.45970912991899554
32	G6	A1	G	A	0.34436743964649524
33	G5	A9	G	A	0.40169491202562946
34	G5	A8	G	A	0.5211335349231927
35	G5	A7	G	A	0.5396140680381486
36	G5	A10	G	A	0.349128607704495
37	G5	A2	G	A	0.41001256936437697
38	G5	A1	G	A	0.5792448528244106
39	G3	A9	G	A	0.42839029707267395
40	G3	A8	G	A	0.5744733321610306
41	G3	A7	G	A	0.5872105198893965
42	G3	A10	G	A	0.365867876717716
43	G3	A2	G	A	0.4601916223682432
44	G3	A1	G	A	0.6092596564994238
45	G2	A9	G	A	0.2912319250726579
46	G2	A8	G	A	0.28604424513311216
47	G2	A7	G	A	0.32982947128293055
48	G2	A10	G	A	0.3415653390817987
49	G2	A2	G	A	0.24245367012149685
50	G2	A1	G	A	0.3015610682401985
51	G9	B12	G	B	0.35659755213381056
52	G9	B11	G	B	0.3167363891125175
53	G9	B10	G	B	0.3957477714357305
54	G9	B9	G	B	0.2987686454861498
55	G9	B4	G	B	0.3225110981628344
56	G9	B1	G	B	0.31147740954571157
57	G7	B12	G	B	0.3610316523158803
58	G7	B11	G	B	0.332394894436508
59	G7	B10	G	B	0.40672557200190174
60	G7	B9	G	B	0.2702293124710305
61	G7	B4	G	B	0.33816788832442124
62	G7	B1	G	B	0.31680391406738406
63	G6	B12	G	B	0.35533788023970087
64	G6	B11	G	B	0.526557637467832
65	G6	B10	G	B	0.43429843973541826
66	G6	B9	G	B	0.4623492787652366
67	G6	B4	G	B	0.3768588710920522
68	G6	B1	G	B	0.38117473192663853
69	G5	B12	G	B	0.518762621736405
70	G5	B11	G	B	0.2763248768428441
71	G5	B10	G	B	0.6109050569444618
72	G5	B9	G	B	0.4786366427996423
73	G5	B4	G	B	0.5424154379001036
74	G5	B1	G	B	0.4904490482235087
75	G3	B12	G	B	0.5958030011852128
76	G3	B11	G	B	0.31361951864563775
77	G3	B10	G	B	0.6832978462162259
78	G3	B9	G	B	0.5343223939628885
79	G3	B4	G	B	0.6117799017354052
80	G3	B1	G	B	0.5607142456277543
81	G2	B12	G	B	0.3128757549018838
82	G2	B11	G	B	0.337092511744464
83	G2	B10	G	B	0.3912076888632167
84	G2	B9	G	B	0.2678744081743768
85	G2	B4	G	B	0.30446634725230565
86	G2	B1	G	B	0.2891180652530638
